Time (yr BP),Antarctic temperature,Antarctic temperature uncertainty
648000,-6.790937003,1.515267246
649000,-6.637453246,1.513972017
650000,-6.585633622,1.508145132
651000,-6.657791893,1.509794373
652000,-6.797543865,1.514525824
653000,-6.911803437,1.516972866
654000,-6.837232798,1.53780669
655000,-6.551593684,1.55955781
656000,-6.306469289,1.543630881
657000,-6.364647311,1.551181382
658000,-6.69834899,1.575527934
659000,-7.090640249,1.562492039
660000,-7.375661149,1.53247238
661000,-7.489380496,1.517846002
662000,-7.424292676,1.519297464
663000,-7.346327779,1.525046721
664000,-7.483790912,1.548662164
665000,-7.793231351,1.550802911
666000,-8.031768065,1.521404103
667000,-8.073216798,1.517123577
668000,-7.882770695,1.567975958
669000,-7.452844353,1.629846401
670000,-7.027332932,1.599368391
671000,-6.936200564,1.552450035
672000,-7.04520521,1.536692009
673000,-6.964867954,1.554899548
674000,-6.585278867,1.612818304
675000,-6.067080356,1.632769534
676000,-5.708487392,1.602360574
677000,-5.565880759,1.634052546
678000,-5.298091986,1.708284146
679000,-5.077982936,1.710666235
680000,-5.323303742,1.704984106
681000,-5.580573186,1.659049903
682000,-5.335175209,1.656329009
683000,-4.861120056,1.60787226
684000,-4.483759126,1.557035563
685000,-4.152370336,1.552356371
686000,-3.789047851,1.564008352
687000,-3.394692379,1.565693118
688000,-3.05699649,1.541553666
689000,-2.813762753,1.529246684
690000,-2.565388963,1.537205199
691000,-2.281984472,1.541651063
692000,-1.98409872,1.551380879
693000,-1.6861793,1.548657023
694000,-1.513302764,1.522509054
695000,-1.482092236,1.506986708
696000,-1.480401611,1.503335191
697000,-1.495683853,1.506717301
698000,-1.595047939,1.52110937
699000,-1.793600442,1.532518334
700000,-1.927138674,1.525281663
701000,-1.891363084,1.521995646
702000,-1.874159398,1.522160765
703000,-2.031002525,1.534392727
704000,-2.323104235,1.549121275
705000,-2.65886583,1.546332382
706000,-2.934318143,1.526692553
707000,-3.077979396,1.510023012
708000,-3.13822169,1.507096321
709000,-3.218921468,1.508188011
710000,-3.304158789,1.504683703
711000,-3.355639124,1.502240201
712000,-3.387342209,1.503587597
713000,-3.417766428,1.514836228
714000,-3.573215647,1.563018281
